date,ticker,asset_class,close,currency
2020-12-16,EUNL.DE,ETF,59.4119987487793,EUR
2020-12-17,EUNL.DE,ETF,59.41600036621094,EUR
2020-12-18,EUNL.DE,ETF,59.25,EUR
2020-12-21,EUNL.DE,ETF,58.54600143432617,EUR
2020-12-22,EUNL.DE,ETF,59.11800003051758,EUR
2020-12-23,EUNL.DE,ETF,59.40999984741211,EUR
2020-12-28,EUNL.DE,ETF,59.76399993896485,EUR
2020-12-29,EUNL.DE,ETF,59.81999969482422,EUR
2020-12-30,EUNL.DE,ETF,59.71200180053711,EUR
2021-01-04,EUNL.DE,ETF,59.27399826049805,EUR
2021-01-05,EUNL.DE,ETF,59.4119987487793,EUR
2021-01-06,EUNL.DE,ETF,60.23799896240234,EUR
2021-01-07,EUNL.DE,ETF,60.77000045776367,EUR
2021-01-08,EUNL.DE,ETF,61.108001708984375,EUR
2021-01-11,EUNL.DE,ETF,61.33399963378906,EUR
2021-01-12,EUNL.DE,ETF,61.28200149536133,EUR
2021-01-13,EUNL.DE,ETF,61.43999862670898,EUR
2021-01-14,EUNL.DE,ETF,61.76399993896485,EUR
2021-01-15,EUNL.DE,ETF,61.22200012207031,EUR
2021-01-19,EUNL.DE,ETF,61.28799819946289,EUR
2021-01-20,EUNL.DE,ETF,62.08200073242188,EUR
